,layer0,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17,layer18,layer19,layer20,layer21,layer22,layer23
hellaswag,0.38617805218084045,0.25562636924915355,0.2539334793865764,0.25632344154550885,0.25791674965146383,0.25692093208524197,0.2570205138418642,0.25492929695279826,0.25781716789484166,0.25363473411670984,0.2562238597888867,0.25692093208524197,0.25632344154550885,0.2552280422226648,0.2590121489743079,0.2562238597888867,0.255327623979287,0.2605058753236407,0.2561242780322645,0.26000796654052977,0.26289583748257317,0.2682732523401713,0.2651862178848835,0.2620991834295957
piqa,0.7110990206746464,0.5272034820457019,0.5342763873775843,0.5217627856365615,0.5364526659412405,0.5266594124047879,0.5092491838955386,0.5337323177366703,0.5402611534276387,0.5348204570184983,0.5266594124047879,0.529923830250272,0.5282916213275299,0.5212187159956474,0.5348204570184983,0.5244831338411317,0.530467899891186,0.5457018498367792,0.5364526659412405,0.5429815016322089,0.5233949945593036,0.5457018498367792,0.5707290533188248,0.5799782372143635
winogrande,0.5469613259668509,0.5082872928176796,0.5059194948697711,0.500394632991318,0.5011838989739542,0.5256511444356748,0.48145224940805054,0.5201262825572218,0.46724546172059983,0.5082872928176796,0.516179952644041,0.4956590370955012,0.49013417521704816,0.510655090765588,0.48697711128650356,0.4964483030781373,0.4861878453038674,0.48697711128650356,0.500394632991318,0.4909234411996843,0.47829518547750594,0.510655090765588,0.4925019731649566,0.4909234411996843
mathqa,0.24288107202680068,0.20268006700167504,0.1932998324958124,0.192964824120603,0.18760469011725292,0.2033500837520938,0.20636515912897824,0.2134003350083752,0.2137353433835846,0.20469011725293132,0.19765494137353434,0.1966499162479062,0.207035175879397,0.2050251256281407,0.2033500837520938,0.1966499162479062,0.2100502512562814,0.2033500837520938,0.18860971524288106,0.1882747068676717,0.2020100502512563,0.2100502512562814,0.2254606365159129,0.21708542713567838
