,layer0,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17,layer18,layer19,layer20,layer21,layer22,layer23
hellaswag,0.2559251145190201,0.3036247759410476,0.29814777932682734,0.27076279625572597,0.3602867954590719,0.3437562238597889,0.32772356104361683,0.2985461063533161,0.34226249751045607,0.3309101772555268,0.36297550288787095,0.3419637522405895,0.3701453893646684,0.35381398127862973,0.37293367855008963,0.3637721569408484,0.3801035650268871,0.3736307508464449,0.37751443935471024,0.3800039832702649,0.3759211312487552,0.37572196773551086,0.373132842063334,0.31955785700059747
piqa,0.5233949945593036,0.5995647442872688,0.6131664853101197,0.5647442872687704,0.6789989118607181,0.6795429815016322,0.6746463547334058,0.6153427638737758,0.6735582154515778,0.6605005440696409,0.7013057671381937,0.676822633297062,0.6953210010881393,0.6849836779107725,0.6871599564744287,0.6800870511425462,0.6926006528835691,0.6898803046789989,0.6964091403699674,0.6958650707290533,0.6969532100108814,0.6882480957562568,0.6844396082698585,0.6099020674646355
winogrande,0.48855564325177586,0.4956590370955012,0.5074980268350434,0.5067087608524072,0.5343330702446725,0.5224940805051302,0.5382794001578532,0.5209155485398579,0.5272296764009471,0.5288082083662194,0.5146014206787688,0.5295974743488555,0.531965272296764,0.5430149960536701,0.5398579321231255,0.5501183898973955,0.5430149960536701,0.5485398579321231,0.5295974743488555,0.5406471981057617,0.5674822415153907,0.5516969218626677,0.5469613259668509,0.55327545382794
mathqa,0.192964824120603,0.22144053601340033,0.22512562814070353,0.2134003350083752,0.23517587939698492,0.23182579564489111,0.22512562814070353,0.22479061976549414,0.24321608040201004,0.2271356783919598,0.2324958123953099,0.2338358458961474,0.23149078726968175,0.22914572864321608,0.2221105527638191,0.22512562814070353,0.23819095477386934,0.23584589614740367,0.23484087102177553,0.2375209380234506,0.23450586264656617,0.23350083752093803,0.23015075376884422,0.22311557788944725
