,layer0,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17,layer18,layer19,layer20,layer21,layer22,layer23,layer24,layer25,layer26,layer27
hellaswag,0.2566221868153754,0.3992232622983469,0.40151364270065726,0.4630551682931687,0.4742083250348536,0.47520414260107546,0.4729137621987652,0.47400916152160927,0.4731129257120096,0.4682334196375224,0.48297151961760604,0.46853216490738897,0.48376817367058356,0.4801832304321848,0.48317068313085043,0.4814777932682733,0.47918741286596295,0.48645688109938257,0.4880501892053376,0.4878510256920932,0.4911372236606254,0.48595897231627166,0.48914558852818163,0.48775144393547104,0.48904600677155946,0.4779924317864967,0.47998406691894047,0.4849631547500498
piqa,0.5277475516866159,0.6817192600652884,0.7127312295973884,0.7426550598476604,0.7480957562568009,0.7399347116430903,0.7410228509249184,0.7448313384113167,0.749727965179543,0.7415669205658324,0.7453754080522307,0.736126224156692,0.7470076169749728,0.7421109902067464,0.7535364526659413,0.7431991294885746,0.7453754080522307,0.7464635473340587,0.7453754080522307,0.7393906420021763,0.7470076169749728,0.749183895538629,0.7480957562568009,0.7415669205658324,0.7442872687704026,0.736126224156692,0.7475516866158868,0.7426550598476604
winogrande,0.5067087608524072,0.5556432517758485,0.5682715074980268,0.6250986582478295,0.6187845303867403,0.6187845303867403,0.6101026045777427,0.6306235201262825,0.6187845303867403,0.6156274664561957,0.6235201262825573,0.6148382004735596,0.6416732438831886,0.6258879242304657,0.6377269139700079,0.6456195737963694,0.6393054459352802,0.6377269139700079,0.6495659037095501,0.6345698500394633,0.6322020520915549,0.6408839779005525,0.6314127861089187,0.6337805840568271,0.6345698500394633,0.6471981057616417,0.6290449881610103,0.6361483820047356
mathqa,0.19262981574539365,0.23819095477386934,0.23886097152428812,0.25326633165829143,0.25963149078726966,0.2562814070351759,0.2613065326633166,0.2552763819095477,0.2536013400335008,0.2562814070351759,0.2525963149078727,0.24154103852596315,0.254606365159129,0.24489112227805696,0.2693467336683417,0.2606365159128978,0.2509212730318258,0.24991624790619765,0.2623115577889447,0.25192629815745393,0.2626465661641541,0.26733668341708544,0.2663316582914573,0.26532663316582916,0.2626465661641541,0.26365159128978227,0.25896147403685094,0.2609715242881072
