,layer0,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17,layer18,layer19,layer20,layer21,layer22,layer23
hellaswag,0.2545309699263095,0.37024497112129057,0.3308105954989046,0.2717586138219478,0.3746265684126668,0.37094204341764586,0.3646683927504481,0.30193188607847044,0.3216490738896634,0.33738299143596895,0.37582154949213303,0.3541127265484963,0.38408683529177456,0.35909181437960563,0.3843855805616411,0.36805417247560246,0.3881696873132842,0.37821151165106554,0.38418641704839673,0.3879705238000398,0.38498307110137425,0.3824935271858196,0.38309101772555265,0.37054371639115713
piqa,0.5348204570184983,0.6893362350380848,0.6681175190424374,0.5707290533188248,0.6882480957562568,0.6958650707290533,0.6991294885745375,0.6523394994559304,0.6692056583242655,0.6811751904243744,0.7023939064200218,0.6849836779107725,0.7029379760609358,0.6838955386289445,0.705114254624592,0.6920565832426551,0.7007616974972797,0.6969532100108814,0.7078346028291621,0.7029379760609358,0.7067464635473341,0.7002176278563657,0.704570184983678,0.6877040261153428
winogrande,0.5011838989739542,0.5359116022099447,0.5256511444356748,0.4988161010260458,0.5445935280189423,0.5390686661404893,0.5295974743488555,0.5272296764009471,0.5422257300710339,0.5343330702446725,0.5367008681925809,0.5367008681925809,0.5445935280189423,0.5422257300710339,0.5453827940015785,0.5430149960536701,0.5564325177584846,0.5382794001578532,0.5509076558800315,0.5603788476716653,0.5493291239147593,0.5548539857932123,0.5540647198105761,0.5493291239147593
mathqa,0.19932998324958123,0.23919597989949748,0.23484087102177553,0.2150753768844221,0.23584589614740367,0.23517587939698492,0.23450586264656617,0.22445561139028475,0.23417085427135678,0.23149078726968175,0.24489112227805696,0.23149078726968175,0.23852596314907873,0.23417085427135678,0.23517587939698492,0.23785594639865998,0.23517587939698492,0.2422110552763819,0.24187604690117254,0.23819095477386934,0.24522613065326634,0.23450586264656617,0.2375209380234506,0.2371859296482412
