,layer0,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17,layer18,layer19,layer20,layer21,layer22,layer23,layer24,layer25,layer26,layer27
hellaswag,0.40310695080661224,0.48645688109938257,0.4386576379207329,0.4814777932682733,0.48735311690898225,0.48297151961760604,0.474407488548098,0.4848635729934276,0.48446524596693885,0.46395140410276836,0.48516231826329415,0.4493128858793069,0.485062736506672,0.469627564230233,0.4778928500298745,0.4811790479984067,0.48376817367058356,0.4927305317665804,0.48516231826329415,0.490938060147381,0.490938060147381,0.4910376419040032,0.49412467635929097,0.49203345947022503,0.49362676757618007,0.4938259310894244,0.49512049392551283,0.4945230033857797
piqa,0.6866158868335147,0.750816104461371,0.7426550598476604,0.749183895538629,0.7519042437431991,0.749727965179543,0.7540805223068553,0.7535364526659413,0.749727965179543,0.7415669205658324,0.7486398258977149,0.7306855277475517,0.749183895538629,0.7399347116430903,0.7442872687704026,0.7415669205658324,0.7448313384113167,0.7551686615886833,0.7470076169749728,0.750816104461371,0.749183895538629,0.7557127312295974,0.7524483133841132,0.7480957562568009,0.7535364526659413,0.7540805223068553,0.7540805223068553,0.7546245919477693
winogrande,0.5469613259668509,0.6290449881610103,0.6187845303867403,0.6337805840568271,0.6393054459352802,0.6195737963693765,0.6235201262825573,0.6108918705603789,0.6314127861089187,0.6164167324388319,0.6361483820047356,0.6282557221783741,0.6393054459352802,0.6274664561957379,0.6456195737963694,0.6250986582478295,0.6243093922651933,0.6448303078137332,0.6337805840568271,0.6424625098658248,0.6361483820047356,0.6393054459352802,0.648776637726914,0.6456195737963694,0.6511444356748224,0.6432517758484609,0.6393054459352802,0.6424625098658248
mathqa,0.23886097152428812,0.2522613065326633,0.25728643216080405,0.25795644891122277,0.25661641541038527,0.2606365159128978,0.2556113902847571,0.2613065326633166,0.2649916247906198,0.2536013400335008,0.2649916247906198,0.24857621440536012,0.26365159128978227,0.25025125628140704,0.2609715242881072,0.26164154103852594,0.2522613065326633,0.25728643216080405,0.2609715242881072,0.2576214405360134,0.26532663316582916,0.26164154103852594,0.2629815745393635,0.2633165829145729,0.2606365159128978,0.26800670016750416,0.2633165829145729,0.26666666666666666
