,layer0,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17,layer18,layer19,layer20,layer21,layer22,layer23,layer24,layer25,layer26,layer27
hellaswag,0.4949213304122685,0.26070503883688506,0.25960963951404104,0.2586138219478192,0.26010754829715194,0.25960963951404104,0.2591117307309301,0.2620991834295957,0.2539334793865764,0.2621987651862179,0.2621987651862179,0.2535351523600876,0.2666799442342163,0.2610037841067516,0.2560246962756423,0.25403306114319857,0.26419040031866164,0.25632344154550885,0.2647878908583947,0.27086237801234814,0.26538538139812784,0.26538538139812784,0.2551284604660426,0.25941047600079664,0.2842063333997212,0.2453694483170683,0.26538538139812784,0.23341963752240588
piqa,0.7529923830250272,0.545157780195865,0.5261153427638737,0.5353645266594124,0.5429815016322089,0.5467899891186072,0.5201305767138193,0.5337323177366703,0.5250272034820457,0.5321001088139282,0.5201305767138193,0.5223068552774756,0.5359085963003264,0.5250272034820457,0.5195865070729053,0.5097932535364527,0.5408052230685527,0.5206746463547334,0.5310119695321001,0.5359085963003264,0.5369967355821545,0.5380848748639826,0.528835690968444,0.5250272034820457,0.559847660500544,0.5282916213275299,0.5321001088139282,0.4956474428726877
winogrande,0.6416732438831886,0.48539857932123126,0.494869771112865,0.49013417521704816,0.4940805051302289,0.5035516969218626,0.48697711128650356,0.516179952644041,0.5098658247829518,0.4996053670086819,0.5185477505919495,0.4909234411996843,0.5074980268350434,0.5130228887134964,0.4972375690607735,0.5153906866614049,0.5067087608524072,0.49171270718232046,0.5138121546961326,0.5398579321231255,0.5138121546961326,0.5114443567482242,0.505130228887135,0.5122336227308603,0.5177584846093133,0.5224940805051302,0.5327545382794001,0.4546172059984215
mathqa,0.26532663316582916,0.1916247906197655,0.19932998324958123,0.19061976549413737,0.19095477386934673,0.18525963149078728,0.20100502512562815,0.18860971524288106,0.192964824120603,0.19564489112227806,0.2067001675041876,0.21072026800670016,0.20871021775544388,0.19463986599664992,0.19061976549413737,0.20737018425460638,0.2150753768844221,0.21708542713567838,0.2033500837520938,0.22244556113902847,0.1899497487437186,0.19865996649916248,0.21273031825795644,0.19865996649916248,0.20268006700167504,0.20636515912897824,0.20536013400335007,0.20938023450586266
