,layer0,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17,layer18,layer19,layer20,layer21,layer22,layer23,layer24,layer25,layer26,layer27
hellaswag,0.3875721967735511,0.4683330013941446,0.41635132443736306,0.46873132842063336,0.4795857398924517,0.46813383788090024,0.4615614419438359,0.47868950408285205,0.47918741286596295,0.45727942640908187,0.48008364867556264,0.44682334196375223,0.4825731925911173,0.4676359290977893,0.4779924317864967,0.4809798844851623,0.4832702648874726,0.49263095000995816,0.4832702648874726,0.4911372236606254,0.4894443337980482,0.48914558852818163,0.49372634933280224,0.49123680541724757,0.4938259310894244,0.4933280223063135,0.4953196574387572,0.49422425811591314
piqa,0.6784548422198041,0.7388465723612623,0.735582154515778,0.7410228509249184,0.7442872687704026,0.749183895538629,0.7486398258977149,0.7470076169749728,0.7431991294885746,0.7437431991294886,0.7480957562568009,0.7317736670293797,0.7480957562568009,0.7372143634385201,0.749183895538629,0.7404787812840044,0.7453754080522307,0.7562568008705114,0.749183895538629,0.7448313384113167,0.7448313384113167,0.7513601741022851,0.7568008705114254,0.7480957562568009,0.7524483133841132,0.750816104461371,0.7540805223068553,0.7513601741022851
winogrande,0.5367008681925809,0.6045777426992897,0.5777426992896606,0.6187845303867403,0.6235201262825573,0.6006314127861089,0.6274664561957379,0.606156274664562,0.6219415943172849,0.6235201262825573,0.6298342541436464,0.6274664561957379,0.6416732438831886,0.6266771902131019,0.6393054459352802,0.6306235201262825,0.6345698500394633,0.6416732438831886,0.6337805840568271,0.6385161799526441,0.6416732438831886,0.6408839779005525,0.6456195737963694,0.6432517758484609,0.6479873717442778,0.6416732438831886,0.6424625098658248,0.6456195737963694
mathqa,0.2355108877721943,0.24723618090452262,0.25159128978224454,0.2525963149078727,0.24958123953098826,0.2542713567839196,0.2623115577889447,0.2626465661641541,0.26532663316582916,0.25192629815745393,0.2626465661641541,0.25192629815745393,0.26365159128978227,0.24522613065326634,0.2659966499162479,0.25896147403685094,0.2536013400335008,0.25795644891122277,0.25862646566164155,0.2562814070351759,0.264321608040201,0.2646566164154104,0.26164154103852594,0.25963149078726966,0.26030150753768844,0.26365159128978227,0.25996649916247905,0.26666666666666666
