,layer0,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17,layer18,layer19,layer20,layer21,layer22,layer23
hellaswag,0.255327623979287,0.3708424616610237,0.33061143198566023,0.2696673969328819,0.374726150169289,0.3710416251742681,0.3646683927504481,0.3020314678350926,0.3209520015933081,0.3372834096793467,0.376319458275244,0.353415654252141,0.38398725353515234,0.3586934873531169,0.38488348934475203,0.36825333598884685,0.38767177853017326,0.3783110934076877,0.3843855805616411,0.388070105556662,0.3851822346146186,0.38259310894244175,0.3826926906990639,0.37024497112129057
piqa,0.5353645266594124,0.6887921653971708,0.6664853101196954,0.5658324265505985,0.6898803046789989,0.6947769314472253,0.6991294885745375,0.6534276387377584,0.6702937976060935,0.6817192600652884,0.7018498367791077,0.6833514689880305,0.7013057671381937,0.6833514689880305,0.705114254624592,0.690968443960827,0.7002176278563657,0.6964091403699674,0.7078346028291621,0.7040261153427638,0.705658324265506,0.7007616974972797,0.704570184983678,0.6871599564744287
winogrande,0.5074980268350434,0.5351223362273086,0.5311760063141279,0.5067087608524072,0.5461720599842147,0.5414364640883977,0.5311760063141279,0.5295974743488555,0.5485398579321231,0.5327545382794001,0.5359116022099447,0.5398579321231255,0.5406471981057617,0.5414364640883977,0.5453827940015785,0.5438042620363063,0.5572217837411207,0.5406471981057617,0.5516969218626677,0.5627466456195738,0.5469613259668509,0.5540647198105761,0.5493291239147593,0.5501183898973955
mathqa,0.19765494137353434,0.23886097152428812,0.2371859296482412,0.2234505862646566,0.2371859296482412,0.2338358458961474,0.23450586264656617,0.2241206030150754,0.2338358458961474,0.23082077051926297,0.24321608040201004,0.23149078726968175,0.23919597989949748,0.2338358458961474,0.23517587939698492,0.23886097152428812,0.23618090452261306,0.2422110552763819,0.24154103852596315,0.23785594639865998,0.24522613065326634,0.23450586264656617,0.23819095477386934,0.23785594639865998
