,layer0,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17,layer18,layer19,layer20,layer21,layer22,layer23,layer24,layer25,layer26,layer27
hellaswag,0.2570205138418642,0.4303923521210914,0.44383588926508666,0.4832702648874726,0.4757020513841864,0.4833698466440948,0.47699661422027484,0.47649870543716394,0.4779924317864967,0.4796853216490739,0.4874526986656045,0.4907388966341366,0.48914558852818163,0.4987054371639116,0.4963154750049791,0.4933280223063135,0.4900418243377813,0.4880501892053376,0.4993029277036447,0.48974307906791475,0.49681338378809003,0.4903405696076479,0.4914359689304919,0.49063931487751444,0.4907388966341366,0.4781915952997411,0.48048197570205137,0.4854610635331607
piqa,0.5495103373231773,0.7089227421109902,0.7219804134929271,0.7448313384113167,0.7453754080522307,0.7442872687704026,0.7421109902067464,0.7459194776931447,0.7453754080522307,0.7431991294885746,0.7475516866158868,0.7470076169749728,0.7480957562568009,0.750272034820457,0.7519042437431991,0.7573449401523396,0.7470076169749728,0.7437431991294886,0.7470076169749728,0.7464635473340587,0.750816104461371,0.750272034820457,0.7459194776931447,0.7437431991294886,0.7448313384113167,0.7317736670293797,0.7486398258977149,0.7415669205658324
winogrande,0.5019731649565904,0.5382794001578532,0.6022099447513812,0.6393054459352802,0.6235201262825573,0.6250986582478295,0.6227308602999211,0.6282557221783741,0.6558800315706393,0.6393054459352802,0.6211523283346487,0.6085240726124704,0.6416732438831886,0.6385161799526441,0.6456195737963694,0.648776637726914,0.6479873717442778,0.6448303078137332,0.6527229676400947,0.6408839779005525,0.6282557221783741,0.6440410418310971,0.6377269139700079,0.6345698500394633,0.6361483820047356,0.6440410418310971,0.6306235201262825,0.6353591160220995
mathqa,0.21072026800670016,0.23852596314907873,0.23886097152428812,0.2562814070351759,0.25728643216080405,0.25125628140703515,0.2592964824120603,0.2549413735343384,0.25795644891122277,0.25192629815745393,0.2542713567839196,0.2522613065326633,0.2556113902847571,0.25896147403685094,0.2646566164154104,0.2629815745393635,0.2619765494137353,0.26164154103852594,0.26733668341708544,0.25829145728643216,0.2623115577889447,0.26733668341708544,0.2663316582914573,0.264321608040201,0.2659966499162479,0.2629815745393635,0.2606365159128978,0.25996649916247905
