,layer0,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17,layer18,layer19,layer20,layer21,layer22,layer23
hellaswag,0.262796255725951,0.3492332204740092,0.3712407886875124,0.380601473809998,0.374726150169289,0.35749850627365065,0.350726946823342,0.3504282015534754,0.3567018522206732,0.3571001792471619,0.36735710017924716,0.3741286596295559,0.3719378609838678,0.3791077474606652,0.3724357697669787,0.3805018920533758,0.3777136028679546,0.38040231029675364,0.379008165704043,0.37890858394742083,0.377414857598088,0.37930691097390956,0.3748257319259112,0.3353913563035252
piqa,0.5206746463547334,0.6648531011969532,0.6806311207834603,0.7013057671381937,0.6974972796517954,0.6953210010881393,0.6806311207834603,0.6599564744287268,0.6877040261153428,0.6811751904243744,0.6964091403699674,0.6898803046789989,0.691512513601741,0.6980413492927094,0.690424374319913,0.690968443960827,0.6947769314472253,0.7029379760609358,0.6969532100108814,0.6926006528835691,0.7007616974972797,0.6936887921653971,0.6871599564744287,0.6403699673558215
winogrande,0.4988161010260458,0.531965272296764,0.5469613259668509,0.5469613259668509,0.5445935280189423,0.5461720599842147,0.5367008681925809,0.5280189423835833,0.5224940805051302,0.5382794001578532,0.5280189423835833,0.5390686661404893,0.5374901341752171,0.5422257300710339,0.531965272296764,0.5580110497237569,0.5430149960536701,0.5477505919494869,0.5367008681925809,0.5477505919494869,0.5698500394632992,0.5540647198105761,0.5469613259668509,0.5461720599842147
mathqa,0.2,0.2321608040201005,0.22981574539363483,0.23886097152428812,0.24020100502512562,0.23115577889447236,0.22680067001675042,0.23350083752093803,0.2338358458961474,0.2271356783919598,0.23819095477386934,0.23484087102177553,0.22981574539363483,0.24187604690117254,0.22981574539363483,0.2321608040201005,0.2425460636515913,0.23685092127303184,0.23584589614740367,0.2375209380234506,0.23450586264656617,0.23517587939698492,0.23986599664991626,0.23316582914572864
